@relation 'Final_50_test-weka.filters.unsupervised.attribute.Remove-R3-4,7-10,20-23,33,36-38-weka.filters.unsupervised.attribute.Remove-R3'

@attribute opto_input_1 numeric
@attribute opto_input_2 numeric
@attribute 'Billet Nunber' numeric
@attribute 'Run Time (s) ' numeric
@attribute 'Load Time (s)' numeric
@attribute 'Idle Time (s)' numeric
@attribute 'Program Held (s)' numeric
@attribute 'Job No' numeric
@attribute IRN numeric
@attribute 'Total Quantity' numeric
@attribute 'Quantity In Shift' numeric
@attribute Shift {Afternoon}
@attribute 'ShiftAvergeCycleTime (s)' numeric
@attribute 'ShiftAvergeLoadTime (s)' numeric
@attribute 'ShiftAvergeIdleTime (s)' numeric
@attribute 'ShiftAverageProgramHeld (s)' numeric
@attribute Operator {Ken}
@attribute 'Tools used' numeric
@attribute 'Vices used' numeric
@attribute 'Fixture used' numeric
@attribute 'New Predicted Total Time (s)' numeric
@attribute 'NewPredictedBillitTime (s)' numeric
@attribute 'ActualBillitTime (s)' numeric

@data
0,1,120,0,0,50,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,0,120,0,41,0,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,1,120,0,0,2,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
1,1,120,262,0,0,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,1,121,0,0,99,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,0,121,0,37,0,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,1,121,0,0,3,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
1,1,121,263,0,0,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,1,122,0,0,25,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,0,122,0,39,0,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,1,122,0,0,2,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
1,1,122,262,0,0,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,1,123,0,0,97,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,0,123,0,36,0,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,1,123,0,0,3,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
1,1,123,264,0,0,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,1,124,0,0,17,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,0,124,0,38,0,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,1,124,0,0,2,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
1,1,124,72,0,0,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
1,1,124,190,0,0,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
0,1,125,0,0,24,0,202002,740054,130,53,Afternoon,267,126,152,0,Ken,10,3,0,113182,871,?
